0.022757,0.17303,0.32329,0.47356,0.62383,0.7741,0.92436,1.0746,1.2249,1.3752,1.5254,1.6757,1.826,1.9762,2.1265,2.2768,2.427,2.5773,2.7276,2.8778,3.0281,3.1784,3.3286,3.4789,3.6292,3.7794,3.9297,4.08,4.2303,4.3805,4.5308,4.6811,4.8313,4.9816,5.1319,5.2821,5.4324,5.5827,5.7329
0.053041,0.21114,0.36924,0.52734,0.68544,0.84354,1.0016,1.1597,1.3178,1.4759,1.634,1.7921,1.9502,2.1083,2.2664,2.4245,2.5826,2.7407,2.8988,3.0569,3.215,3.3731,3.5312,3.6893,3.8474,4.0055,4.1636,4.3217,4.4798,4.6379,4.796,4.9541,5.1122,5.2703,5.4284,5.5865,5.7446,5.9027,6.0608
0.078691,0.24304,0.40738,0.57173,0.73607,0.90042,1.0648,1.2291,1.3935,1.5578,1.7221,1.8865,2.0508,2.2152,2.3795,2.5439,2.7082,2.8726,3.0369,3.2013,3.3656,3.53,3.6943,3.8586,4.023,4.1873,4.3517,4.516,4.6804,4.8447,5.0091,5.1734,5.3378,5.5021,5.6664,5.8308,5.9951,6.1595,6.3238
0.099482,0.26827,0.43706,0.60585,0.77464,0.94342,1.1122,1.281,1.4498,1.6186,1.7874,1.9562,2.1249,2.2937,2.4625,2.6313,2.8001,2.9689,3.1377,3.3065,3.4752,3.644,3.8128,3.9816,4.1504,4.3192,4.488,4.6568,4.8256,4.9943,5.1631,5.3319,5.5007,5.6695,5.8383,6.0071,6.1759,6.3447,6.5134
0.11533,0.28663,0.45793,0.62922,0.80052,0.97182,1.1431,1.3144,1.4857,1.657,1.8283,1.9996,2.1709,2.3422,2.5135,2.6848,2.8561,3.0274,3.1987,3.37,3.5413,3.7126,3.8839,4.0552,4.2265,4.3978,4.5691,4.7404,4.9117,5.083,5.2543,5.4256,5.5969,5.7682,5.9395,6.1108,6.2821,6.4534,6.6247
0.12642,0.29832,0.47023,0.64213,0.81404,0.98594,1.1578,1.3298,1.5017,1.6736,1.8455,2.0174,2.1893,2.3612,2.5331,2.705,2.8769,3.0488,3.2207,3.3926,3.5645,3.7364,3.9083,4.0802,4.2521,4.424,4.5959,4.7679,4.9398,5.1117,5.2836,5.4555,5.6274,5.7993,5.9712,6.1431,6.315,6.4869,6.6588
0.13334,0.30418,0.47502,0.64586,0.81669,0.98753,1.1584,1.3292,1.5,1.6709,1.8417,2.0126,2.1834,2.3542,2.5251,2.6959,2.8667,3.0376,3.2084,3.3793,3.5501,3.7209,3.8918,4.0626,4.2335,4.4043,4.5751,4.746,4.9168,5.0876,5.2585,5.4293,5.6002,5.771,5.9418,6.1127,6.2835,6.4543,6.6252
0.13701,0.30551,0.47402,0.64252,0.81103,0.97953,1.148,1.3165,1.485,1.6536,1.8221,1.9906,2.1591,2.3276,2.4961,2.6646,2.8331,3.0016,3.1701,3.3386,3.5071,3.6756,3.8441,4.0126,4.1811,4.3496,4.5181,4.6866,4.8551,5.0237,5.1922,5.3607,5.5292,5.6977,5.8662,6.0347,6.2032,6.3717,6.5402
0.13839,0.30373,0.46908,0.63443,0.79977,0.96512,1.1305,1.2958,1.4612,1.6265,1.7919,1.9572,2.1225,2.2879,2.4532,2.6186,2.7839,2.9493,3.1146,3.28,3.4453,3.6107,3.776,3.9414,4.1067,4.2721,4.4374,4.6028,4.7681,4.9334,5.0988,5.2641,5.4295,5.5948,5.7602,5.9255,6.0909,6.2562,6.4216
0.13825,0.29997,0.46169,0.62341,0.78513,0.94685,1.1086,1.2703,1.432,1.5937,1.7554,1.9172,2.0789,2.2406,2.4023,2.564,2.7258,2.8875,3.0492,3.2109,3.3726,3.5343,3.6961,3.8578,4.0195,4.1812,4.3429,4.5047,4.6664,4.8281,4.9898,5.1515,5.3133,5.475,5.6367,5.7984,5.9601,6.1218,6.2836
