0.14967,0.14882,0.14799,0.14718,0.14641,0.14569,0.14506,0.1446,0.14446,0.14495,0.14662,0.1505,0.15839,0.17315,0.19868,0.23959,0.30111,0.38989,0.51473,0.68795,0.92644,1.2536,1.7019,2.3163,3.1585,4.3148,5.904,8.0918,11.092,15.194,20.824,28.561,39.164,53.589,73.311,100.32,106.67,110.08,113.03
0.14471,0.14403,0.14411,0.14584,0.15102,0.16313,0.18776,0.23216,0.30462,0.41589,0.58127,0.8232,1.1746,1.6839,2.4218,3.4924,5.0474,7.3115,10.589,15.327,22.198,32.114,46.356,66.906,96.517,107.36,111.79,115.55,118.94,122.06,124.99,127.74,130.35,132.84,135.23,137.51,139.69,141.79,143.79
0.14641,0.16522,0.20653,0.28324,0.41199,0.61806,0.9414,1.4454,2.2303,3.454,5.3612,8.3398,12.976,20.171,31.366,48.627,75.348,104.72,111.37,116.49,120.94,124.97,128.68,132.13,135.37,138.43,141.32,144.06,146.67,149.13,151.47,153.7,155.82,157.87,159.84,161.76,163.63,165.47,167.27
0.25889,0.40698,0.66542,1.1066,1.855,3.1219,5.2716,8.9306,15.175,25.752,43.634,73.549,106.02,114.1,120.36,125.77,130.61,135.03,139.11,142.9,146.43,149.74,152.84,155.75,158.47,161.04,163.48,165.82,168.07,170.27,172.39,174.47,176.49,178.48,180.45,182.42,184.44,186.45,188.42
0.64305,1.1794,2.181,4.0528,7.5631,14.176,26.667,49.99,92.176,112.11,120.61,127.6,133.69,139.13,144.05,148.56,152.7,156.52,160.04,163.3,166.33,169.17,171.87,174.46,176.96,179.36,181.71,183.99,186.26,188.58,190.91,193.2,195.33,197.01,198.08,198.66,198.97,199.35,200.06
1.5087,3.1187,6.4825,13.549,28.49,59.84,106.19,118.81,128.02,135.71,142.39,148.3,153.61,158.4,162.75,166.68,170.29,173.6,176.7,179.65,182.48,185.19,187.82,190.4,193.04,195.7,198.32,200.52,202,202.72,203.02,203.4,204.25,205.66,207.7,210.39,213.43,216.36,218.69
3.2455,7.6015,17.929,42.623,97.656,118.33,129.85,139.11,146.94,153.72,159.69,164.99,169.69,173.9,177.71,181.24,184.54,187.67,190.66,193.59,196.54,199.56,202.48,204.8,206.07,206.44,206.69,207.5,209.05,211.46,214.7,218.26,221.23,223.27,224.32,224.32,223.41,222.32,221.85
6.5132,17.414,46.994,106.58,124.6,137.01,146.94,155.22,162.31,168.44,173.78,178.46,182.65,186.47,190.06,193.42,196.68,199.96,203.32,206.48,208.66,209.5,209.6,210.22,211.8,214.54,218.35,222.3,225.17,226.75,226.93,225.83,224.52,224.13,224.94,227,229.54,231.87,234.05
12.36,37.936,104.24,126.49,140.78,151.88,160.92,168.5,174.93,180.41,185.18,189.46,193.4,197.08,200.66,204.28,207.98,210.93,212.19,212.25,212.8,214.6,217.88,222.38,226.37,228.7,229.24,228.05,226.47,226.14,227.41,230.11,232.83,235.35,237.67,239.62,240.86,240.96,240.01
22.359,77.567,123.35,141.01,153.98,164.19,172.51,179.41,185.19,190.16,194.62,198.71,202.61,206.53,210.53,213.65,214.68,214.65,215.66,218.34,222.88,227.69,230.58,231.19,229.64,228,228.1,230.31,233.45,236.32,238.94,241.14,242.44,242.29,241.02,240.72,242,243.22,244.27
38.673,112.34,136.85,152.93,164.96,174.43,182.07,188.32,193.61,198.31,202.61,206.76,211.05,214.99,216.8,216.72,217.52,220.32,225.38,230.39,232.85,232.42,230.16,229.35,231.05,234.48,237.65,240.53,242.85,243.88,243.11,241.82,242.62,244.04,245.22,246.24,247.12,247.88,248.56
63.466,126.05,147.88,162.88,174.12,182.89,189.89,195.64,200.65,205.18,209.59,214.17,217.93,218.78,218.7,220.55,225.15,231.01,234.25,234.05,231.51,230.74,233.03,236.75,240.1,242.99,244.86,244.67,243.06,243.45,245.01,246.27,247.35,248.26,249.04,249.73,250.4,251.15,252.07
95.929,136.72,157.08,171.19,181.72,189.85,196.3,201.74,206.57,211.16,215.98,219.84,220.47,220.5,223.03,228.7,234.21,236,233.91,231.9,233.28,237.21,240.86,244.02,245.96,245.51,243.86,244.86,246.39,247.65,248.7,249.58,250.33,251.03,251.79,252.74,253.32,252.52,252.48
112.64,145.48,164.75,178.1,187.98,195.52,201.59,206.8,211.58,216.53,220.99,222.14,221.91,224.36,230.36,235.94,237.13,234.33,233,235.74,239.9,243.56,246.34,246.88,245.04,245.29,246.98,248.33,249.45,250.36,251.13,251.86,252.68,253.72,253.71,253.07,253.2,253.3,253.43
122.2,152.73,171.1,183.78,193.08,200.15,205.93,211,215.91,221,223.61,223.18,224.69,230.12,236.53,238.38,235.55,233.97,236.92,241.23,244.99,247.58,247.35,245.47,246.74,248.32,249.6,250.64,251.49,252.25,253.05,254.07,254.5,253.69,253.75,253.85,253.99,254.26,254.77
